match_no,Bowler,team,over,run,wicket,No_ball,ECO
34,Mayank Markande,Sunrisers Hyderabad,4,34,0,0,8.5
34,Umran Malik,Sunrisers Hyderabad,2,14,0,0,7
34,Aiden Markram,Sunrisers Hyderabad,1,7,0,0,7
34,Ishant Sharma,Delhi Capitals,3,18,1,0,6
34,Anrich Nortje,Delhi Capitals,4,33,2,0,8.3
34,Mukesh Kumar,Delhi Capitals,3,27,0,0,9
34,Axar Patel,Delhi Capitals,4,21,2,0,5.3
34,Kuldeep Yadav,Delhi Capitals,4,22,1,0,5.5
34,Mitchell Marsh,Delhi Capitals,2,16,0,1,8
35,Arjun Tendulkar,Mumbai Indians,2,9,1,0,4.5
35,Jason Behrendorff,Mumbai Indians,4,37,1,0,9.3
35,Riley Meredith,Mumbai Indians,4,49,1,0,12.3
35,Cameron Green,Mumbai Indians,2,39,0,0,19.5
